"","법정동주소","도로명주소","시도","시군구","읍면동"
"1","대전광역시 중구 문화동 432-3",NA,"대전광역시","중구","문화동"
"2","전북특별자치도 진안군 부귀면 궁항리 177-2","운장로 173-34","전북특별자치도","진안군","부귀면 궁항리"
"3","충청북도 보은군 삼승면 송죽리 277-5","거현송죽로 434","충청북도","보은군","삼승면 송죽리"
"4","강원특별자치도 속초시 영랑동 114-10",NA,"강원특별자치도","속초시","영랑동"
"5","충청북도 보은군 산외면 길탕리 305-2","탕골1길 9-1","충청북도","보은군","산외면 길탕리"
"6","경상남도 남해군 창선면 서대리 670","서부로818번길 37-1","경상남도","남해군","창선면 서대리"
"7","경상남도 남해군 창선면 대벽리 128-1","서부로 1493-6","경상남도","남해군","창선면 대벽리"
"8","경상남도 진주시 옥봉동 781-26","진산로10번길 10-8","경상남도","진주시","옥봉동"
"9","경기도 양평군 지평면 월산리 484-2","금의길 149","경기도","양평군","지평면 월산리"
"10","경상남도 김해시 어방동 457-2","활천로237번길 4","경상남도","김해시","어방동"
"11","경상북도 경주시 도지동 622",NA,"경상북도","경주시","도지동"
"12","충청남도 홍성군 서부면 상황리 367-2","서부로43번길 315","충청남도","홍성군","서부면 상황리"
"13","전라남도 완도군 고금면 회룡리 421","31","전라남도","완도군","고금면 회룡리"
"14","경상북도 청도군 각남면 예리리 907-3","예리4길 80-11","경상북도","청도군","각남면 예리리"
"15","대구광역시 수성구 범어동 385-19","동대구로56길 62","대구광역시","수성구","범어동"
"16","강원특별자치도 홍천군 서면 개야리 266",NA,"강원특별자치도","홍천군","서면 개야리"
"17","강원특별자치도 고성군 토성면 아야진리 204-3","54","강원특별자치도","고성군","토성면 아야진리"
"18","부산광역시 남구 대연동 1619-481","천제등로16번가길 19-5","부산광역시","남구","대연동"
"19","경상남도 함양군 휴천면 호산리 232","산두길 44","경상남도","함양군","휴천면 호산리"
"20","세종특별자치시  소정면 운당리 225-1",NA,"세종특별자치시",NA,"소정면 운당리"
"21","충청북도 음성군 생극면 관성리 510-1","366","충청북도","음성군","생극면 관성리"
"22","충청북도 보은군 삼승면 내망리 432-4","새말길 52-22","충청북도","보은군","삼승면 내망리"
"23","충청북도 청주상당구 남주동 104","남사로100번길 70","충청북도","청주상당구","남주동"
"24","강원특별자치도 영월군 상동읍 구래리 95-3",NA,"강원특별자치도","영월군","상동읍 구래리"
"25","경상남도 고성군 동해면 장좌리 735","구절로 96-48","경상남도","고성군","동해면 장좌리"
"26","인천광역시 미추홀구 용현동 604-90","독배로 303-18","인천광역시","미추홀구","용현동"
"27","전북특별자치도 군산시 임피면 보석리 637-2",NA,"전북특별자치도","군산시","임피면 보석리"
"28","부산광역시 북구 만덕동 639-24","13-1","부산광역시","북구","만덕동"
"29","서울특별시 도봉구 방학동 425-18","시루봉로 149-21","서울특별시","도봉구","방학동"
"30","경상북도 영천시 금호읍 남성리 267-1","남성길 89-2","경상북도","영천시","금호읍 남성리"
"31","경상남도 통영시 도남동 479-10","13-13","경상남도","통영시","도남동"
"32","전라남도 나주시 중앙동 80-2",NA,"전라남도","나주시","중앙동"
"33","인천광역시 미추홀구 주안동 1211-4","26-39","인천광역시","미추홀구","주안동"
"34","경기도 평택시 포승읍 원정리 1275","2함대길 20","경기도","평택시","포승읍 원정리"
"35","서울특별시 강동구 둔촌동 170-1",NA,"서울특별시","강동구","둔촌동"
"36","대전광역시 동구 직동 647-1",NA,"대전광역시","동구","직동"
"37","충청남도 논산시 벌곡면 대덕리 475","수락로443번길 37-5","충청남도","논산시","벌곡면 대덕리"
"38","경상남도 함안군 칠서면 용성리 156","용성길 44-38","경상남도","함안군","칠서면 용성리"
"39","전라남도 목포시 죽교동 341-2","9-1","전라남도","목포시","죽교동"
"40","부산광역시 부산진구 범천동 1637-3",NA,"부산광역시","부산진구","범천동"
"41","경기도 용인처인구 김량장동 294-22","금령로13번길 6-4","경기도","용인처인구","김량장동"
"42","경상북도 영덕군 축산면 부곡리 283","부곡1길 232-1","경상북도","영덕군","축산면 부곡리"
"43","부산광역시 남구 문현동 465-3","고동골로59번길 94","부산광역시","남구","문현동"
"44","부산광역시 금정구 서동 371-18","7-13","부산광역시","금정구","서동"
"45","경기도 양주시 장흥면 부곡리 530",NA,"경기도","양주시","장흥면 부곡리"
"46","충청남도 금산군 진산면 만악리 112","초미동길 212-2","충청남도","금산군","진산면 만악리"
"47","전라남도 장성군 서삼면 장산리 27","31-6","전라남도","장성군","서삼면 장산리"
"48","부산광역시 영도구 청학동 148-136","와치로53번길 25-7","부산광역시","영도구","청학동"
"49","경상남도 하동군 북천면 방화리 327","가평길 51","경상남도","하동군","북천면 방화리"
"50","경상북도 청도군 이서면 서원리 560-3","미동길 73-8","경상북도","청도군","이서면 서원리"
"51","전라남도 보성군 회천면 객산리 103","6-22","전라남도","보성군","회천면 객산리"
"52","경상북도 고령군 대가야읍 쾌빈리 401-6",NA,"경상북도","고령군","대가야읍 쾌빈리"
"53","대구광역시 서구 비산동 548-8","문화로69길 34-5","대구광역시","서구","비산동"
"54","대전광역시 서구 도마동 64-12",NA,"대전광역시","서구","도마동"
"55","경기도 남양주시 진건읍 진관리 416-3",NA,"경기도","남양주시","진건읍 진관리"
"56","부산광역시 중구 영주동 239-96","망양로 357-9","부산광역시","중구","영주동"
"57","충청북도 영동군 학산면 학산리 284-2","당곡리길 54","충청북도","영동군","학산면 학산리"
"58","전북특별자치도 정읍시 정우면 대사리 519-1",NA,"전북특별자치도","정읍시","정우면 대사리"
"59","경상남도 창녕군 유어면  457-33","17-9","경상남도","창녕군","유어면"
"60","전북특별자치도 군산시 둔율동 186-42",NA,"전북특별자치도","군산시","둔율동"
"61","부산광역시 금정구 부곡동 737-225","서동로60번길 24-6","부산광역시","금정구","부곡동"
