"","X","법정동주소","도로명주소","시도","시군구","읍면동","x","y","flag"
"1",1,"대전광역시 중구 문화동 432-3",NA,"대전광역시","중구","문화동",127.4056908,36.3114883,"NORMAL"
"2",2,"전북특별자치도 진안군 부귀면 궁항리 177-2","운장로 173-34","전북특별자치도","진안군","부귀면 궁항리",127.3382292,35.8645883,"NORMAL"
"3",3,"충청북도 보은군 삼승면 송죽리 277-5","거현송죽로 434","충청북도","보은군","삼승면 송죽리",127.7280365,36.4355101,"NORMAL"
"4",4,"강원특별자치도 속초시 영랑동 114-10",NA,"강원특별자치도","속초시","영랑동",128.5969347,38.2138315,"NORMAL"
"5",5,"충청북도 보은군 산외면 길탕리 305-2","탕골1길 9-1","충청북도","보은군","산외면 길탕리",127.7038392,36.5651081,"NORMAL"
"6",6,"경상남도 남해군 창선면 서대리 670","서부로818번길 37-1","경상남도","남해군","창선면 서대리",127.9850456,34.8776851,"NORMAL"
"7",7,"경상남도 남해군 창선면 대벽리 128-1","서부로 1493-6","경상남도","남해군","창선면 대벽리",128.0243229,34.9175868,"NORMAL"
"8",8,"경상남도 진주시 옥봉동 781-26","진산로10번길 10-8","경상남도","진주시","옥봉동",128.093387,35.1930933,"NORMAL"
"9",9,"경기도 양평군 지평면 월산리 484-2","금의길 149","경기도","양평군","지평면 월산리",127.6562548,37.4754155,"NORMAL"
"10",10,"경상남도 김해시 어방동 457-2","활천로237번길 4","경상남도","김해시","어방동",128.9055963,35.2427571,"NORMAL"
"11",11,"경상북도 경주시 도지동 622",NA,"경상북도","경주시","도지동",129.2681075,35.7995331,"NORMAL"
"12",12,"충청남도 홍성군 서부면 상황리 367-2","서부로43번길 315","충청남도","홍성군","서부면 상황리",126.4793974,36.5776671,"NORMAL"
"13",13,"전라남도 완도군 고금면 회룡리 421","31","전라남도","완도군","고금면 회룡리",126.7835433,34.3822371,"NORMAL"
"14",14,"경상북도 청도군 각남면 예리리 907-3","예리4길 80-11","경상북도","청도군","각남면 예리리",128.6607401,35.6375789,"NORMAL"
"15",15,"대구광역시 수성구 범어동 385-19","동대구로56길 62","대구광역시","수성구","범어동",128.6293143,35.8559605,"NORMAL"
"16",16,"강원특별자치도 홍천군 서면 개야리 266",NA,"강원특별자치도","홍천군","서면 개야리",127.6345129,37.6859325,"NORMAL"
"17",17,"강원특별자치도 고성군 토성면 아야진리 204-3","54","강원특별자치도","고성군","토성면 아야진리",128.5514247,38.2747839,"NORMAL"
"18",18,"부산광역시 남구 대연동 1619-481","천제등로16번가길 19-5","부산광역시","남구","대연동",129.0830381,35.1325087,"NORMAL"
"19",19,"경상남도 함양군 휴천면 호산리 232","산두길 44","경상남도","함양군","휴천면 호산리",127.7632117,35.4780206,"NORMAL"
